epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,84.0761,0.09108,0.87562,0.96352,0.71366,0.000184891,0.000184891,0.000184891
2,166.135,0.08676,0.84909,0.9801,0.90985,0.000366559,0.000366559,0.000366559
3,246.62,0.13637,0.82919,0.95357,1.30912,0.000544558,0.000544558,0.000544558
4,327.373,0.11122,0.77612,0.95522,1.95485,0.000539487,0.000539487,0.000539487
5,408.032,0.12695,0.7131,0.99337,0.93273,0.000533982,0.000533982,0.000533982
6,489.329,0.09114,0.68657,0.98839,1.88025,0.000528478,0.000528478,0.000528478
7,569.86,0.10614,0.65174,0.98839,1.76328,0.000522974,0.000522974,0.000522974
8,650.3,0.10312,0.69983,0.97844,1.51839,0.000517469,0.000517469,0.000517469
9,731.561,0.09972,0.65837,0.98176,3.17267,0.000511965,0.000511965,0.000511965
10,811.611,0.09253,0.62687,0.99005,1.28015,0.00050646,0.00050646,0.00050646
11,892.559,0.08626,0.63682,0.97512,2.18613,0.000500956,0.000500956,0.000500956
